id,first_name,last_name,team,position
452657,Jon,Lester,CHN,pitcher
430935,Cole,Hamels,CHN,pitcher
477132,Clayton,Kershaw,LAN,pitcher
622072,Alex,Wood,LAN,pitcher
612672,Wei-Yin,Chen,MIA,pitcher
543475,Jordan,Lyles,SDN,pitcher
475115,Tyson,Ross,SLN,pitcher
434671,Anibal,Sanchez,ATL,pitcher
594798,Jacob,deGrom,NYN,pitcher
435221,Brandon,McCarthy,ATL,pitcher
518774,Matt,Harvey,CIN,pitcher
543699,Tanner,Roark,WAS,pitcher
489119,Wade,Miley,MIL,pitcher
502706,Derek,Holland,SFN,pitcher
543548,Tommy,Milone,WAS,pitcher
592836,Taijuan,Walker,ARI,pitcher
462136,Marco,Estrada,TOR,pitcher
461829,Gio,Gonzalez,WAS,pitcher
543294,Kyle,Hendricks,CHN,pitcher
456701,Homer,Bailey,CIN,pitcher
592314,Mike,Foltynewicz,ATL,pitcher
592662,Robbie,Ray,ARI,pitcher
519008,T.J.,McFarland,ARI,pitcher
592789,Noah,Syndergaard,NYN,pitcher
518452,Chad,Bettis,COL,pitcher
543734,Chris,Rusin,COL,pitcher
605452,Joe,Ross,WAS,pitcher
592826,Vince,Velasquez,PHI,pitcher
491696,Jesus,Sucre,TBA,fielder
434378,Justin,Verlander,HOU,pitcher
571951,Bryan,Mitchell,SDN,pitcher
489267,Adam,Rosales,CLE,fielder
571510,Matthew,Boyd,DET,pitcher
573185,Dan,Straily,MIA,pitcher
572403,Drew,VerHagen,DET,pitcher
527048,Martin,Perez,TEX,pitcher
605400,Aaron,Nola,PHI,pitcher
592351,Jon,Gray,COL,pitcher
468504,Jhoulys,Chacin,MIL,pitcher
592426,Luke,Jackson,ATL,pitcher
448179,Rich,Hill,LAN,pitcher
544725,Leury,Garcia,CHA,fielder
400085,Ichiro,Suzuki,SEA,fielder
607231,John,Gant,SLN,pitcher
548389,Ross,Stripling,LAN,pitcher
456124,Erik,Kratz,MIL,pitcher
608717,Chris,Stratton,SFN,pitcher
543776,JB,Shuck,MIA,fielder
542881,Tyler,Anderson,COL,pitcher
461865,Andrew,Romine,SEA,fielder
460077,Drew,Butera,KCA,fielder
572365,Ryan,Goins,KCA,fielder
600301,Taylor,Motter,MIN,fielder
534606,Ryan,LaMarre,MIN,fielder
592407,Bryan,Holaday,MIA,pitcher
471083,Miguel,Montero,WAS,fielder
460269,Chris,Gimenez,MIN,fielder
622097,Jake,Thompson,PHI,pitcher
500871,Eduardo,Escobar,MIN,fielder
596133,Luke,Weaver,SLN,pitcher
643603,Tyler,White,HOU,fielder
475247,Ryan,Flaherty,ATL,fielder
621389,Ty,Blach,SFN,pitcher
592866,Trevor,Williams,PIT,pitcher
608566,German,Marquez,COL,pitcher
571863,Matt,Koch,ARI,pitcher
607536,Kyle,Freeland,COL,pitcher
607219,Sal,Romano,CIN,pitcher
608700,Kevin,Plawecki,NYN,fielder
656794,Sean,Newcomb,ATL,pitcher
445055,Jon,Jay,KCA,fielder
518614,Daniel,Descalso,ARI,fielder
571697,Scooter,Gennett,CIN,fielder
