batter_id,g_id,batter,team,opp,rbi,strikeout,out,n_atbats,homerun,hit
134181,201800148,A.Beltre,TEX,ANA,0,1.0,2.0,4,0.0,2.0
134181,201800310,A.Beltre,TEX,SEA,0,0.0,1.0,4,0.0,2.0
134181,201801124,A.Beltre,TEX,MIN,2,0.0,3.0,5,0.0,2.0
134181,201801139,A.Beltre,TEX,MIN,1,1.0,2.0,5,1.0,3.0
134181,201801240,A.Beltre,TEX,CHA,0,1.0,1.0,1,0.0,0.0
134181,201801449,A.Beltre,TEX,CLE,1,1.0,4.0,6,0.0,2.0
134181,201801946,A.Beltre,TEX,SFN,0,1.0,1.0,1,0.0,0.0
400085,201800193,I.Suzuki,SEA,OAK,0,1.0,3.0,3,0.0,0.0
400085,201800253,I.Suzuki,SEA,HOU,0,0.0,1.0,1,0.0,0.0
400085,201800310,I.Suzuki,SEA,TEX,0,1.0,1.0,5,0.0,2.0
400121,201801775,V.Martinez,DET,CHA,1,0.0,3.0,4,0.0,1.0
400121,201801919,V.Martinez,DET,CHA,0,1.0,3.0,4,0.0,0.0
400284,201801306,C.Utley,LAN,ANA,0,0.0,2.0,3,0.0,1.0
400284,201802421,C.Utley,LAN,SFN,0,1.0,1.0,1,0.0,0.0
405395,201800148,A.Pujols,ANA,TEX,1,1.0,3.0,5,0.0,2.0
405395,201800402,A.Pujols,ANA,NYA,0,0.0,3.0,4,0.0,1.0
405395,201800547,A.Pujols,ANA,MIN,0,0.0,3.0,4,0.0,1.0
405395,201800780,A.Pujols,ANA,DET,1,0.0,3.0,4,0.0,1.0
405395,201801262,A.Pujols,ANA,SEA,0,0.0,3.0,4,0.0,0.0
405395,201801292,A.Pujols,ANA,SEA,0,0.0,3.0,4,0.0,1.0
405395,201801306,A.Pujols,ANA,LAN,0,3.0,4.0,4,0.0,0.0
405395,201801368,A.Pujols,ANA,SEA,2,0.0,3.0,5,1.0,2.0
408045,201800547,J.Mauer,MIN,ANA,0,0.0,3.0,4,0.0,1.0
408045,201801041,J.Mauer,MIN,CLE,0,0.0,2.0,5,0.0,2.0
408045,201801124,J.Mauer,MIN,TEX,1,1.0,3.0,4,0.0,1.0
408045,201801139,J.Mauer,MIN,TEX,0,1.0,3.0,5,0.0,2.0
408045,201801468,J.Mauer,MIN,KCA,0,0.0,1.0,4,0.0,3.0
408045,201802076,J.Mauer,MIN,HOU,0,1.0,4.0,4,0.0,0.0
408045,201802401,J.Mauer,MIN,CHA,1,0.0,2.0,5,0.0,2.0
408314,201801382,J.Reyes,NYN,PHI,0,0.0,4.0,5,0.0,0.0
408314,201801806,J.Reyes,NYN,BAL,0,0.0,3.0,5,0.0,2.0
408314,201801966,J.Reyes,NYN,CHN,0,0.0,4.0,4,0.0,0.0
408314,201802422,J.Reyes,NYN,MIA,0,0.0,1.0,1,0.0,0.0
425783,201800148,S.Choo,TEX,ANA,0,1.0,5.0,5,0.0,0.0
425783,201800310,S.Choo,TEX,SEA,1,0.0,3.0,4,0.0,1.0
425783,201801124,S.Choo,TEX,MIN,3,2.0,2.0,5,1.0,2.0
425783,201801139,S.Choo,TEX,MIN,1,1.0,3.0,5,0.0,1.0
425783,201801240,S.Choo,TEX,CHA,0,1.0,4.0,5,0.0,0.0
425783,201801449,S.Choo,TEX,CLE,1,1.0,4.0,7,0.0,2.0
425783,201801946,S.Choo,TEX,SFN,0,0.0,2.0,4,0.0,1.0
425784,201800402,R.Rivera,ANA,NYA,0,1.0,3.0,4,0.0,1.0
425877,201800122,Y.Molina,SLN,ARI,0,0.0,2.0,3,0.0,1.0
425877,201800940,Y.Molina,SLN,CIN,0,1.0,4.0,5,0.0,1.0
425877,201801572,Y.Molina,SLN,CHN,0,2.0,3.0,4,0.0,1.0
425877,201801600,Y.Molina,SLN,COL,1,0.0,4.0,4,0.0,0.0
425877,201801676,Y.Molina,SLN,PIT,0,0.0,3.0,5,0.0,2.0
425877,201801848,Y.Molina,SLN,MIL,0,3.0,4.0,4,0.0,0.0
425877,201802188,Y.Molina,SLN,LAN,0,0.0,1.0,2,0.0,0.0
425877,201802278,Y.Molina,SLN,ATL,1,1.0,2.0,4,0.0,1.0
429664,201800193,R.Cano,SEA,OAK,0,0.0,0.0,4,0.0,1.0
429664,201800253,R.Cano,SEA,HOU,1,0.0,3.0,4,0.0,1.0
429664,201800310,R.Cano,SEA,TEX,0,0.0,3.0,5,0.0,1.0
429664,201802341,R.Cano,SEA,OAK,1,1.0,3.0,4,1.0,1.0
429665,201800128,E.Encarnacion,CLE,KCA,0,2.0,4.0,4,0.0,0.0
429665,201800465,E.Encarnacion,CLE,NYA,0,2.0,4.0,4,0.0,0.0
429665,201801041,E.Encarnacion,CLE,MIN,0,0.0,3.0,4,0.0,1.0
